,source,target,origin,prediction
25,na cainam kledayanty apo na sosayati marutah,na cainaṁ kledayanty āpo na śoṣayati mārutaḥ,pdf,na cainaṁ kledayanty apo na soṣayati marutaḥ
26,nehabhikrama-naso 'sti pratyavayo na vidyate,nehābhikrama-nāśo ’sti pratyavāyo na vidyate,pdf,nehabhikrama-naso ’sti pratyavayo na vidyate
27,sv-alpam apy asya dharmasya trayate mahato bhayat,sv-alpam apy asya dharmasya trāyate mahato bhayāt,pdf,sv-alpam apy asya dharmasya trayate mahato bhayat
28,bhogaisvarya-prasaktanam tayapahrta-cetasam,bhogaiśvarya-prasaktānāṁ tayāpahṛta-cetasām,pdf,bhogaiṣvarya-prasaktanaṁ tayapaḥrta-cetasaṁ
29,vyavasayatmika buddhih samadhau na vidhiyate,vyavasāyātmikā buddhiḥ samādhau na vidhīyate,pdf,vyavasayatmika buddhiḥ samadhau na vidhiyate
30,karmany evadhikaras te ma phalesu kadacana,karmaṇy evādhikāras te mā phaleṣu kadācana,pdf,karmaṇy evadhikaras te ma phaleṣu kadacana
31,ma karma-phala-hetur bhur ma te sango 'stv akarmani,mā karma-phala-hetur bhūr mā te saṅgo ’stv akarmaṇi,pdf,ma karma-phala-hetur bhūr ma te sango ’stv akarmaṇ
32,visaya vinivartante niraharasya dehinah,viṣayā vinivartante nirāhārasya dehinaḥ,pdf,viṣaya vinivartante niraḥarasya dehinaḥ
34,tani sarvani samyamya yukta asita mat-parah,tāni sarvāṇi saṁyamya yukta āsīta mat-paraḥ,pdf,tani sarvani samyamya yukta āsita mat-paraḥ
36,dhyayato visayan pumsah sangas tesupajayate,dhyāyato viṣayān puṁsaḥ saṅgas teṣūpajāyate,pdf,dhyayato viṣayan pumsaḥ sangas teṣupajayate
38,krodhad bhavati sammohah sammohat smrti-vibhramah,krodhād bhavati sammohaḥ sammohāt smṛti-vibhramaḥ,pdf,kṛodhad bhavati sammohaḥ sammohat smṛti-vibhramaḥ
39,smrti-bhramsad buddhi-naso buddhi-nasat pranasyati,smṛti-bhraṁśād buddhi-nāśo buddhi-nāśāt praṇaśyati,pdf,smṛti-bhramsad buddhi-naso buddhi-nasat praṇasyati
40,ya nisa sarva-bhutanam tasyam jagarti samyami,yā niśā sarva-bhūtānāṁ tasyāṁ jāgarti saṁyamī,pdf,ya niṣa sarva-bhūtanaṁ tasyam jagarti samyami
41,yasyam jagrati bhutani sa nisa pasyato muneh,yasyāṁ jāgrati bhūtāni sā niśā paśyato muneḥ,pdf,yasyaṁ jagrati bhūtani sa niśa pasyato muneh
42,na hi kascit ksanam api jatu tisthaty akarma-krt,na hi kaścit kṣaṇam api jātu tiṣṭhaty akarma-kṛt,pdf,na hi kascit kṣaṇaṁ api jatu tiṣṭhaty akarma-kṛt
43,karyate hy avasah karma sarvah prakrti-jair gunaih,kāryate hy avaśaḥ karma sarvaḥ prakṛti-jair guṇaiḥ,pdf,karyate hy avasaḥ karma sarvaḥ prakṛti-jair guṇaiḥ
44,karmendriyani samyamya ya aste manasa smaran,karmendriyāṇi saṁyamya ya āste manasā smaran,pdf,karmeṇdriyani samyamya ya aste manasa smaraṇ
45,indriyarthan vimudhatma mithyacarah sa ucyate,indriyārthān vimūḍhātmā mithyācāraḥ sa ucyate,pdf,indriyarthan vimudhatma mithyacaraḥ sa ucyate
46,niyatam kuru karma tvam karma jyayo hy akarmanah,niyataṁ kuru karma tvaṁ karma jyāyo hy akarmaṇaḥ,pdf,niyataṁ kuru karma tvaṁ karma jyayo hy akarmaṇaḥ
48,yajnarthat karmano 'nyatra loko 'yam karma-bandhanah,yajñārthāt karmaṇo ’nyatra loko ’yaṁ karma-bandhanaḥ,pdf,yajñarthat karmaṇo ’nyatra loko ’yam karma-bandhan
49,tad-artham karma kaunteya mukta-sangah samacara,tad-arthaṁ karma kaunteya mukta-saṅgaḥ samācara,pdf,tad-arthaṁ karma kaunteya mukta-sangaḥ samacara
52,annad bhavanti bhutani parjanyad anna-sambhavah,annād bhavanti bhūtāni parjanyād anna-sambhavaḥ,pdf,annad bhavanti bhūtani parjanyad anna-sambhavaḥ
54,ajo 'pi sann avyayatma bhutanam isvaro 'pi san,ajo ’pi sann avyayātmā bhūtānām īśvaro ’pi san,pdf,ajo ’pi sann avyayatma bhūtanaṁ iśvaro ’pi san
55,prakrtim svam adhisthaya sambhavamy atma-mayaya,prakṛtiṁ svām adhiṣṭhāya sambhavāmy ātma-māyayā,pdf,prakṛtiṁ svam adhiṣṭhaya sambhavaṁy atma-mayaya
56,yada yada hi dharmasya glanir bhavati bharata,yadā yadā hi dharmasya glānir bhavati bhārata,pdf,yada yada hi dharmasya glanir bhavati bharata
57,abhyutthanam adharmasya tadatmanam sriamy aham,abhyutthānam adharmasya tadātmānaṁ sṛjāmy aham,pdf,abhyutthānaṁ adharmasya tadatmanaṁ sriamy ahaṁ
58,paritranaya sadhunam vinasaya ca duskrtam,paritrāṇāya sādhūnāṁ vināśāya ca duṣkṛtām,pdf,paritraṇaya sadhunaṁ vinasaya ca duṣkrtaṁ
59,dharma-samsthapanarthaya sambhavami yuge yuge,dharma-saṁsthāpanārthāya sambhavāmi yuge yuge,pdf,dharma-samsthapanarthaya sambhavaṁi yuge yuge
60,janma karma ca me divyam evam yo vetti tattvatah,janma karma ca me divyam evaṁ yo vetti tattvataḥ,pdf,janma karma ca me divyaṁ evaṁ yo vetti tattvataḥ
61,tyaktva deham punar janma naiti mam eti so 'rjuna,tyaktvā dehaṁ punar janma naiti mām eti so ’rjuna,pdf,tyaktva dehaṁ punar janma naiti mam eti so ’rjuna
62,ye yatha mam prapadyante tams tathaiva bhajamy aham,ye yathā māṁ prapadyante tāṁs tathaiva bhajāmy aham,pdf,ye yathā mam prapadyante tams tathaiva bhajaṁy aha
63,mama vartmanuvartante manusyah partha sarvasah,mama vartmānuvartante manuṣyāḥ pārtha sarvaśaḥ,pdf,mama vartmanuvartante manuṣyaḥ partha sarvasaḥ
64,catur-varnyam maya srstam guna-karma-vibhagasah,cātur-varṇyaṁ mayā sṛṣṭaṁ guṇa-karma-vibhāgaśaḥ,pdf,catur-varṇyam maya srṣṭaṁ guṇa-karma-vibhagasaḥ
65,tasya kartaram api mam viddhy akartaram avyayam,tasya kartāram api māṁ viddhy akartāram avyayam,pdf,tasya kartaraṁ api mam viddhy akartaraṁ avyayaṁ
66,tad viddhi pranipatena pariprasnena sevaya,tad viddhi praṇipātena paripraśnena sevayā,pdf,tad viddhi praṇipatena pariprasnena sevaya
68,vidya-vinaya-sampanne brahmane gavi hastini,vidyā-vinaya-sampanne brāhmaṇe gavi hastini,pdf,vidya-vināya-sampanne brahmaṇe gavi hastini
69,suni caiva sva-pake ca panditah sama-darsinah,śuni caiva śva-pāke ca paṇḍitāḥ sama-darśinaḥ,pdf,suni caiva sva-pake ca panditaḥ sama-darṣiṇaḥ
70,ye hi samsparsa-ja bhoga duhkha-yonaya eva te,ye hi saṁsparśa-jā bhogā duḥkha-yonaya eva te,pdf,ye hi samsparṣa-ja bhoga duhkha-yonaya eva te
71,ady-antavantah kaunteya na tesu ramate budhah,ādy-antavantaḥ kaunteya na teṣu ramate budhaḥ,pdf,ady-antavantaḥ kaunteya na teṣu ramate budhaḥ
74,$ri-bhagavan uvaca,śrī-bhagavān uvāca,pdf,śrī-bhagavan uvaca
75,anasritah karma-phalam karyam karma karoti yah,anāśritaḥ karma-phalaṁ kāryaṁ karma karoti yaḥ,pdf,anasritaḥ karma-phalaṁ karyam karma karoti yaḥ
76,sa sannyasi ca yogi ca na niragnir na cakriyah,sa sannyāsī ca yogī ca na niragnir na cākriyaḥ,pdf,sa sannyasi ca yogi ca na niragnir na cakṛiyaḥ
77,uddhared atmanatmanam natmanam avasadayet,uddhared ātmanātmānaṁ nātmānam avasādayet,pdf,uddhared atmanatmanaṁ natmanaṁ avasadayet
78,atmaiva hy atmano bandhur atmaiva ripur atmanah,ātmaiva hy ātmano bandhur ātmaiva ripur ātmanaḥ,pdf,atmaiva hy atmano bandhur atmaiva ripur atmanaḥ
79,yuktahara-viharasya yukta-cestasya karmasu,yuktāhāra-vihārasya yukta-ceṣṭasya karmasu,pdf,yuktaḥara-vihārasya yukta-ceṣṭasya karmasu
80,yukta-svapnavabodhasya yogo bhavati duhkha-ha,yukta-svapnāvabodhasya yogo bhavati duḥkha-hā,pdf,yukta-svapnavabodhasya yogo bhavati duḥkha-ha
81,sukham atyantikam yat tad buddhi-grahyam atindriyam,sukham ātyantikaṁ yat tad buddhi-grāhyam atīndriyam,pdf,sukhaṁ atyantikam yat tad buddhi-grahyaṁ atindriya
82,vetti yatra na caivayam sthitas calati tattvatah,vetti yatra na caivāyaṁ sthitaś calati tattvataḥ,pdf,vetti yatra na caivayaṁ sthitas calati tattvataḥ
83,yam labdhva caparam labham manyate nadhikam tatah,yaṁ labdhvā cāparaṁ lābhaṁ manyate nādhikaṁ tataḥ,pdf,yam labdhva caparam labhaṁ manyate nadhikam tataḥ
84,yasmin sthito na duhkhena gurunapi vicalyate,yasmin sthito na duḥkhena guruṇāpi vicālyate,pdf,yasmin sthito na duhkhena guruṇapi vicalyate
87,tatas tato niyamyaitad atmany eva vasam nayet,tatas tato niyamyaitad ātmany eva vaśaṁ nayet,pdf,tatas tato niyamyaitad atmany eva vasaṁ nayet
88,yo mam pasyati sarvatra sarvam ca mayi pasyati,yo māṁ paśyati sarvatra sarvaṁ ca mayi paśyati,pdf,yo mam pasyati sarvatra sarvaṁ ca mayi pasyati
89,tasyaham na pranasyami sa ca me na pranasyati,tasyāhaṁ na praṇaśyāmi sa ca me na praṇaśyati,pdf,tasyaḥaṁ na praṇasyaṁi sa ca me na praṇasyati
91,tasyaham nigraham manye vayor iva su-duskaram,tasyāhaṁ nigrahaṁ manye vāyor iva su-duṣkaram,pdf,tasyaḥaṁ nigrahaṁ manye vayor iva su-duṣkaraṁ
92,prapya punya-krtam lokan usitva sasvatih samah,prāpya puṇya-kṛtāṁ lokān uṣitvā śāśvatīḥ samāḥ,pdf,prapya puṇya-kṛtam lokan uṣitva sasvatiḥ samaḥ
93,sucinam srimatam gehe yoga-bhrasto 'bhijayate,śucīnāṁ śrīmatāṁ gehe yoga-bhraṣṭo ’bhijāyate,pdf,sucinaṁ srimataṁ gehe yoga-bhrasto ’bhijayate
94,yoginam api sarvesam mad-gatenantar-atmana,yoginām api sarveṣāṁ mad-gatenāntar-ātmanā,pdf,yoginaṁ api sarveṣam mad-gatenantar-atmana
96,sri-bhagavan uvaca,śrī-bhagavān uvāca,pdf,srī-bhagavan uvaca
99,manusyanam sahasresu kascid yatati siddhaye,manuṣyāṇāṁ sahasreṣu kaścid yatati siddhaye,pdf,manuṣyanaṁ sahasreṣu kascid yatati siddhaye
100,yatatam api siddhanam kascin mam vetti tattvatah,yatatām api siddhānāṁ kaścin māṁ vetti tattvataḥ,pdf,yatataṁ api siddhanaṁ kascin mam vetti tattvataḥ
101,bhumir apo 'nalo vayuh kham mano buddhir eva ca,bhūmir āpo ’nalo vāyuḥ khaṁ mano buddhir eva ca,pdf,bhūmir apo ’nalo vayuḥ kham mano buddhir eva ca
102,ahankara itiyam me bhinna prakrtir astadha,ahaṅkāra itīyaṁ me bhinnā prakṛtir aṣṭadhā,pdf,ahankara itiyaṁ me bhinna prakṛtir astadha
103,apareyam itas tv anyam prakrtim viddhi me param,apareyam itas tv anyāṁ prakṛtiṁ viddhi me parām,pdf,apareyaṁ itas tv anyam prakṛtiṁ viddhi me param
104,jiva-bhutam maha-baho yayedam dharyate jagat,jīva-bhūtāṁ mahā-bāho yayedaṁ dhāryate jagat,pdf,jiva-bhūtaṁ maha-baho yayedaṁ dharyate jagat
105,mattah parataram nanyat kifcid asti dhananijaya,mattaḥ parataraṁ nānyat kiñcid asti dhanañ-jaya,pdf,mattaḥ parataraṁ nanyat kijcid asti dhananijaya
106,mayi sarvam idam protam sutre mani-gana iva,mayi sarvam idaṁ protaṁ sūtre maṇi-gaṇā iva,pdf,mayi sarvaṁ idam protaṁ sutre mani-gana iva
107,raso 'ham apsu kaunteya prabhasmi sasi-suryayoh,raso ’ham apsu kaunteya prabhāsmi śaśi-sūryayoḥ,pdf,raso ’haṁ apṣu kaunteya prabhasmi sasi-suryayoḥ
108,pranavah sarva-vedesu sabdah khe paurusam nrsu,praṇavaḥ sarva-vedeṣu śabdaḥ khe pauruṣaṁ nṛṣu,pdf,praṇavaḥ sarva-vedeṣu sabdaḥ khe pauruṣaṁ nṛṣu
109,balam balavatam caham kama-raga-vivarjitam,balaṁ balavatāṁ cāhaṁ kāma-rāga-vivarjitam,pdf,balaṁ balavataṁ cahaṁ kama-raga-vivarjitaṁ
110,dharmaviruddho bhutesu kamo 'smi bharatarsabha,dharmāviruddho bhūteṣu kāmo ’smi bharatarṣabha,pdf,dharmaviruddho bhuteṣu kamo ’smi bharatarṣabha
111,tribhir guna-mayair bhavair ebhih sarvam idam jagat,tribhir guṇa-mayair bhāvair ebhiḥ sarvam idaṁ jagat,pdf,trībhir guṇa-mayair bhavair ebhiḥ sarvaṁ idam jaga
112,mohitam nabhijanati mam ebhyah param avyayam,mohitaṁ nābhijānāti mām ebhyaḥ param avyayam,pdf,mohitaṁ nabhijanati mam ebhyaḥ param avyayaṁ
113,daivi hy esa guna-mayi mama maya duratyaya,daivī hy eṣā guṇa-mayī mama māyā duratyayā,pdf,daivi hy eṣa guṇa-mayi mama maya duratyaya
114,mam eva ye prapadyante mayam etam taranti te,mām eva ye prapadyante māyām etāṁ taranti te,pdf,mam eva ye prapadyante mayaṁ etaṁ taraṇti te
115,na mam duskrtino mudhah prapadyante naradhamah,na māṁ duṣkṛtino mūḍhāḥ prapadyante narādhamāḥ,pdf,na mam duṣkrtino mudhaḥ prapadyante naradhaṁaḥ
116,mayayapahrta-jfana asuram bhavam asritah,māyayāpahṛta-jñānā āsuraṁ bhāvam āśritāḥ,pdf,mayayapaḥrta-jjana asuram bhavaṁ asritaḥ
120,vasudevah sarvam iti sa mahatma su-durlabhah,vāsudevaḥ sarvam iti sa mahātmā su-durlabhaḥ,pdf,vasudevaḥ sarvaṁ iti sa mahatma su-durlabhaḥ
121,kamais tais tair hrta-jnanah prapadyante 'nya-devatah,kāmais tais tair hṛta-jñānāḥ prapadyante ’nya-devatāḥ,pdf,kamaiṣ taiṣ tair hṛta-jñanaḥ prapadyante ’nya-deva
122,tam tam niyamam asthaya prakrtya niyatah svaya,taṁ taṁ niyamam āsthāya prakṛtyā niyatāḥ svayā,pdf,tam tam niyamaṁ asthaya prakṛtya niyataḥ svaya
123,antavat tu phalam tesam tad bhavaty alpa-medhasam,antavat tu phalaṁ teṣāṁ tad bhavaty alpa-medhasām,pdf,antavat tu phalaṁ teṣam tad bhavaty alpa-medhasaṁ
124,devan deva-yajo yanti mad-bhakta-yanti mam api,devān deva-yajo yānti mad-bhaktā yānti mām api,pdf,devan deva-yajo yanti mad-bhakta-yanti mam api
125,avyaktam vyaktim apannam manyante mam abuddhayah,avyaktaṁ vyaktim āpannaṁ manyante mām abuddhayaḥ,pdf,avyaktaṁ vyaktiṁ apannam manyante mam abuddhayaḥ
126,param bhavam ajananto mamavyayam anuttamam,paraṁ bhāvam ajānanto mamāvyayam anuttamam,pdf,param bhavaṁ ajananto mamavyayaṁ anuttamaṁ
127,naham prakasah sarvasya yoga-maya-savavrtah,nāhaṁ prakāśaḥ sarvasya yoga-māyā-samāvṛtaḥ,pdf,naḥaṁ prakasaḥ sarvasya yoga-maya-savavṛtaḥ
128,mugho 'yam nabhijanati loko mam ajam avyayam,mūḍho ’yaṁ nābhijānāti loko mām ajam avyayam,pdf,mugho ’yam nabhijanati loko mam ajam avyayaṁ
129,vedaham samatitani vartamanani carjuna,vedāhaṁ samatītāni vartamānāni cārjuna,pdf,vedaḥaṁ samatitani vartamanani carjuna
130,bhavisyani ca bhutani mam tu veda na kascana,bhaviṣyāṇi ca bhūtāni māṁ tu veda na kaścana,pdf,bhaviṣyani ca bhūtani mam tu veda na kascana
131,iccha-dvesa samutthena dvandva-mohena bharata,icchā-dveṣa-samutthena dvandva-mohena bhārata,pdf,iccha-dveṣa samutthena dvandva-mohena bharata
132,sarva-bhutani sammoham sarge yanti parantapa,sarva-bhūtāni sammohaṁ sarge yānti parantapa,pdf,sarva-bhūtani sammohaṁ sarge yanti paraṇtapa
133,yesam tv anta-gatam papam jananam punya-karmanam,yeṣāṁ tv anta-gataṁ pāpaṁ janānāṁ puṇya-karmaṇām,pdf,yeṣaṁ tv anta-gataṁ papam jananaṁ punya-karmaṇaṁ
134,te dvandva-moha-nirmukta bhajante mam drdha-vratah,te dvandva-moha-nirmuktā bhajante māṁ dṛḍha-vratāḥ,pdf,te dvandva-moha-nirmukta bhajante mam dṛdha-vṛataḥ
135,anta-kale ca mam eva smaran muktva kalevaram,anta-kāle ca mām eva smaran muktvā kalevaram,pdf,anta-kale ca mam eva smaraṇ muktva kalevaraṁ
136,yah prayati sa mad-bhavam yati nasty atra samsayah,yaḥ prayāti sa mad-bhāvaṁ yāti nāsty atra saṁśayaḥ,pdf,yaḥ prayati sa mad-bhavaṁ yati nasty atra samsayaḥ
137,yam yam vapi smaran bhavam tyajaty ante kalevaram,yaṁ yaṁ vāpi smaran bhāvaṁ tyajaty ante kalevaram,pdf,yam yam vapi smaraṇ bhavaṁ tyajaty ante kalevaraṁ
138,tam tam evaiti kaunteya sada tad-bhava-bhavitah,taṁ tam evaiti kaunteya sadā tad-bhāva-bhāvitaḥ,pdf,tam tam evaiti kaunteya sada tad-bhava-bhavitaḥ
139,mam upetya punar janma duhkhalayam asasvatam,mām upetya punar janma duḥkhālayam aśāśvatam,pdf,mam upetya punar janma duhkhalayaṁ asasvataṁ
140,napnuvanti mahatmanah samsiddhim paramam gatah,nāpnuvanti mahātmānaḥ saṁsiddhiṁ paramāṁ gatāḥ,pdf,napnuvanti mahatmanaḥ samsiddhim paramaṁ gataḥ
141,a-brahma-bhuvanal lokah punar avartino 'rjuna,ā-brahma-bhuvanāl lokāḥ punar āvartino ’rjuna,pdf,a-brahma-bhūvanal lokaḥ puṇar avartino ’rjuna
142,mam upetya tu kaunteya punar janma na vidyate,mām upetya tu kaunteya punar janma na vidyate,pdf,mam upetya tu kaunteya punar janma na vidyate
144,ratrim yuga-sahasrantam te 'ho-ratra-vido janah,rātriṁ yuga-sahasrāntāṁ te ’ho-rātra-vido janāḥ,pdf,ratrim yuga-sahasraṇtaṁ te ’ho-ratra-vido janaḥ
145,bhuta-gramah sa evayam bhutva bhutva praliyate,bhūta-grāmaḥ sa evāyaṁ bhūtvā bhūtvā pralīyate,pdf,bhūta-gramaḥ sa evayaṁ bhūtva bhūtva praliyate
146,ratry-agame 'vasah partha prabhavaty ahar-agame,rātry-āgame ’vaśaḥ pārtha prabhavaty ahar-āgame,pdf,ratry-agame ’vasaḥ partha prabhavaty ahar-agame
147,paras tasmat tu bhavo 'nyo 'vyakto 'vyaktat sanatanah,paras tasmāt tu bhāvo ’nyo ’vyakto ’vyaktāt sanātanaḥ,pdf,paras tasmat tu bhavo ’nyo ’vyakto ’vyaktat sanata
148,yah sa sarvesu bhutesu nasyatsu na vinasyati,yaḥ sa sarveṣu bhūteṣu naśyatsu na vinaśyati,pdf,yaḥ sa sarveṣu bhūteṣu nasyatsu na vinasyati
149,raja-vidya raja-guhyam pavitram idam uttamam,rāja-vidyā rāja-guhyaṁ pavitram idam uttamam,pdf,raja-vidya raja-guhyaṁ pavitram idam uttamaṁ
150,pratyaksavagamam dharmyam su-sukham kartum avyayam,pratyakṣāvagamaṁ dharmyaṁ su-sukhaṁ kartum avyayam,pdf,pratyakṣavagaṁaṁ dharmyam su-sukhaṁ kartum avyayaṁ
152,aprapya mam nivartante mrtyu-samsara-vartmani,aprāpya māṁ nivartante mṛtyu-saṁsāra-vartmani,pdf,aprapya mam nivartante mṛtyu-samsara-vartmani
153,maya tatam idam sarvam jagad avyakta-murtina,mayā tatam idaṁ sarvaṁ jagad avyakta-mūrtinā,pdf,maya tataṁ idam sarvaṁ jagad avyakta-murtina
154,mat-sthani sarva-bhutani na caham tesv avasthitah,mat-sthāni sarva-bhūtāni na cāhaṁ teṣv avasthitaḥ,pdf,mat-sthani sarva-bhūtani na cahaṁ teṣv avasthitaḥ
155,na ca mat-sthani bhutani pasya me yogam aisvaram,na ca mat-sthāni bhūtāni paśya me yogam aiśvaram,pdf,na ca mat-sthani bhūtani pasya me yogam aiśvaram
157,mayadhyaksena prakrtih suyate sa-caracaram,mayādhyakṣeṇa prakṛtiḥ sūyate sa-carācaram,pdf,mayadhyakṣeṇa prakṛtiḥ suyate sa-caracaram
158,hetunanena kaunteya jagad viparivartate,hetunānena kaunteya jagad viparivartate,pdf,hetunanena kaunteya jagad viparivartate
159,avajananti mam mudha manusim tanum asritam,avajānanti māṁ mūḍhā mānuṣīṁ tanum āśritam,pdf,avajananti mam mudha manuṣiṁ tanum asritaṁ
160,param bhavam ajananto mama bhuta-mahesvaram,paraṁ bhāvam ajānanto mama bhūta-maheśvaram,pdf,param bhavaṁ ajananto mama bhūta-maheṣvaram
161,moghasa mogha-karmano mogha-jnana vicetasah,moghāśā mogha-karmāṇo mogha-jñānā vicetasaḥ,pdf,moghasa mogha-karmaṇo mogha-jñana vicetasaḥ
162,raksasim asurim caiva prakrtim mohinim sritah,rākṣasīm āsurīṁ caiva prakṛtiṁ mohinīṁ śritāḥ,pdf,rakṣasiṁ asuriṁ caiva prakṛtiṁ mohinim sritaḥ
163,mahatmanas tu mam partha daivim prakrtim asritah,mahātmānas tu māṁ pārtha daivīṁ prakṛtim āśritāḥ,pdf,mahatmanas tu mam partha daivim prakṛtiṁ asritaḥ
164,bhajanty ananya-manaso jhatva bhutadim avyayam,bhajanty ananya-manaso jñātvā bhūtādim avyayam,pdf,bhajanty ananya-manaso jhatva bhūtadiṁ avyayaṁ
165,satatam kirtayanto mam yatantas ca drdha-vratah,satataṁ kīrtayanto māṁ yatantaś ca dṛḍha-vratāḥ,pdf,satataṁ kirtayanto mam yatantas ca dṛdha-vṛataḥ
166,namasyantas ca mam bhaktya nitya-yukta upasate,namasyantaś ca māṁ bhaktyā nitya-yuktā upāsate,pdf,namasyantas ca mam bhaktya nitya-yukta upasate
167,pitaham asya jagato mata dhata pitamahah,pitāham asya jagato mātā dhātā pitāmahaḥ,pdf,pitaḥaṁ asya jagato mata dhata pitaṁaḥaḥ
169,te tam bhuktva svarga-lokam visalam,te taṁ bhuktvā svarga-lokaṁ viśālaṁ,pdf,te tam bhūktva svarga-lokam viśalaṁ
170,ksine punye martya-lokam visanti,kṣīṇe puṇye martya-lokaṁ viśanti,pdf,kṣiṇe punye martya-lokam viśanti
171,evam trayi-dharmam anuprapanna,evaṁ trayī-dharmam anuprapannā,pdf,evaṁ trayi-dharmaṁ anuprapanna
172,gatagatam kama-kama labhante,gatāgataṁ kāma-kāmā labhante,pdf,gatagataṁ kama-kama labhante
173,ananyas cintayanto mam ye janah paryupasate,ananyāś cintayanto māṁ ye janāḥ paryupāsate,pdf,ananyas cintayanto mam ye janaḥ paryupasate
174,tesam nityabhiyuktanam yoga-ksemam vahamy aham,teṣāṁ nityābhiyuktānāṁ yoga-kṣemaṁ vahāmy aham,pdf,teṣaṁ nityabhiyuktanaṁ yoga-kṣemaṁ vahaṁy ahaṁ
175,ye 'py anya-devata-bhakta yajante sraddhayanvitah,ye ’py anya-devatā-bhaktā yajante śraddhayānvitāḥ,pdf,ye ’py anya-devata-bhakta yajante sraddhayanvitaḥ
